zipcode,id,name,state_id/id,country_id/id
3,EC0101,CUENCA,base.state_ec_01,base.ec
84,EC0102,GIRON,base.state_ec_01,base.ec
54,EC0103,GUALACEO,base.state_ec_01,base.ec
88,EC0104,NABON,base.state_ec_01,base.ec
41,EC0105,PAUTE,base.state_ec_01,base.ec
94,EC0106,PUCARA,base.state_ec_01,base.ec
64,EC0107,SAN FERNANDO,base.state_ec_01,base.ec
70,EC0108,SANTA ISABEL,base.state_ec_01,base.ec
76,EC0109,SIGSIG,base.state_ec_01,base.ec
2650000641,EC0110,OÑA,base.state_ec_01,base.ec
10000556,EC0111,CHORDELEG,base.state_ec_01,base.ec
2650000642,EC0112,EL PAN,base.state_ec_01,base.ec
2650000643,EC0113,SEVILLA DE ORO,base.state_ec_01,base.ec
2650000644,EC0114,GUACHAPALA,base.state_ec_01,base.ec
2650000645,EC0115,CAMILO PONCE ENRIQUEZ,base.state_ec_01,base.ec
97,EC0201,GUARANDA,base.state_ec_02,base.ec
127,EC0202,CHILLANES,base.state_ec_02,base.ec
128,EC0203,CHIMBO,base.state_ec_02,base.ec
129,EC0204,ECHEANDIA,base.state_ec_02,base.ec
130,EC0205,SAN MIGUEL,base.state_ec_02,base.ec
2650000646,EC0206,CALUMA,base.state_ec_02,base.ec
2650000647,EC0207,LAS NAVES,base.state_ec_02,base.ec
132,EC0301,AZOGUES,base.state_ec_03,base.ec
164,EC0302,BIBLIAN,base.state_ec_03,base.ec
151,EC0303,CAÑAR,base.state_ec_03,base.ec
147,EC0304,LA TRONCAL,base.state_ec_03,base.ec
163,EC0305,EL TAMBO,base.state_ec_03,base.ec
2650000648,EC0306,DELEG,base.state_ec_03,base.ec
2650000649,EC0307,SUSCAL,base.state_ec_03,base.ec
170,EC0401,TULCAN,base.state_ec_04,base.ec
205,EC0402,BOLÍVAR,base.state_ec_04,base.ec
209,EC0403,ESPEJO,base.state_ec_04,base.ec
210,EC0404,MIRA,base.state_ec_04,base.ec
211,EC0405,MONTUFAR,base.state_ec_04,base.ec
2650000650,EC0406,SAN PEDRO DE HUACA,base.state_ec_04,base.ec
213,EC0501,LATACUNGA,base.state_ec_05,base.ec
260,EC0502,LA MANA,base.state_ec_05,base.ec
261,EC0503,PANGUA,base.state_ec_05,base.ec
262,EC0504,PUJILI,base.state_ec_05,base.ec
263,EC0505,SALCEDO,base.state_ec_05,base.ec
264,EC0506,SAQUISILI,base.state_ec_05,base.ec
265,EC0507,SIGCHOS,base.state_ec_05,base.ec
267,EC0601,RIOBAMBA,base.state_ec_06,base.ec
284,EC0602,ALAUSI,base.state_ec_06,base.ec
296,EC0603,COLTA,base.state_ec_06,base.ec
303,EC0604,CHAMBO,base.state_ec_06,base.ec
305,EC0605,CHUNCHI,base.state_ec_06,base.ec
311,EC0606,GUAMOTE,base.state_ec_06,base.ec
315,EC0607,GUANO,base.state_ec_06,base.ec
327,EC0608,PALLATANGA,base.state_ec_06,base.ec
329,EC0609,PENIPE,base.state_ec_06,base.ec
2650000651,EC0610,CUMANDA,base.state_ec_06,base.ec
336,EC0701,MACHALA,base.state_ec_07,base.ec
342,EC0702,ARENILLAS,base.state_ec_07,base.ec
347,EC0703,ATAHUALPA,base.state_ec_07,base.ec
352,EC0704,BALSAS,base.state_ec_07,base.ec
354,EC0705,CHILLA,base.state_ec_07,base.ec
356,EC0706,EL GUABO,base.state_ec_07,base.ec
361,EC0707,HUAQUILLAS,base.state_ec_07,base.ec
2650000652,EC0708,MARCABELI,base.state_ec_07,base.ec
365,EC0709,PASAJE,base.state_ec_07,base.ec
373,EC0710,PIÑAS,base.state_ec_07,base.ec
380,EC0711,PORTOVELO,base.state_ec_07,base.ec
385,EC0712,SANTA ROSA,base.state_ec_07,base.ec
393,EC0713,ZARUMA,base.state_ec_07,base.ec
363,EC0714,LAS LAJAS,base.state_ec_07,base.ec
401,EC0801,ESMERALDAS,base.state_ec_08,base.ec
464,EC0802,ELOY ALFARO,base.state_ec_08,base.ec
465,EC0803,MUISNE,base.state_ec_08,base.ec
466,EC0804,QUININDE,base.state_ec_08,base.ec
467,EC0805,SAN LORENZO,base.state_ec_08,base.ec
2650000653,EC0806,ATACAMES,base.state_ec_08,base.ec
2650000654,EC0807,RIO VERDE,base.state_ec_08,base.ec
10002719,EC0808,LA CONCORDIA,base.state_ec_08,base.ec
469,EC0901,GUAYAQUIL,base.state_ec_09,base.ec
502,EC0902,ALFREDO BAQUERIZO MORENO (JUJAN),base.state_ec_09,base.ec
492,EC0903,BALAO,base.state_ec_09,base.ec
500,EC0904,BALZAR,base.state_ec_09,base.ec
504,EC0905,COLIMES,base.state_ec_09,base.ec
506,EC0906,DAULE,base.state_ec_09,base.ec
512,EC0907,DURAN,base.state_ec_09,base.ec
515,EC0908,EL EMPALME(VELASCO I.),base.state_ec_09,base.ec
519,EC0909,EL TRIUNFO,base.state_ec_09,base.ec
521,EC0910,MILAGRO,base.state_ec_09,base.ec
494,EC0911,NARANJAL,base.state_ec_09,base.ec
527,EC0912,NARANJITO,base.state_ec_09,base.ec
529,EC0913,PALESTINA,base.state_ec_09,base.ec
532,EC0914,PEDRO CARBO,base.state_ec_09,base.ec
538,EC0915,SALINAS,base.state_ec_09,base.ec
545,EC0916,SAMBORONDON,base.state_ec_09,base.ec
